FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY,DEP_DELAY,CANCELLED,DIVERTED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CRS_DEP_TIME,CANCELLATION_REASON,Route,Month,Year,Day_Of_Week,Is_Weekend,Season,Delay_Category,Is_Delayed,CRS_DEP_HOUR,Time_Of_Day,Total_Cause_Delay,Dominant_Delay_Cause,Origin_Flight_Volume
2023-01-01 00:00:00,WN,DFW,JFK,48,23,0,0,,46,50,53,2,63,1233,Not Cancelled / Unknown,DFW → JFK,1,2023,Sunday,True,Winter,Moderate Delay,True,12,Afternoon,214,LATE_AIRCRAFT_DELAY,395
2023-01-01 01:00:00,B6,JFK,DFW,-38,93,0,1,B,49,1,54,6,9,1571,Weather,JFK → DFW,1,2023,Sunday,True,Winter,Early/On-time,False,15,Afternoon,119,NAS_DELAY,384
2023-01-01 02:00:00,UA,ATL,DEN,23,34,0,0,A,59,47,47,8,22,777,Carrier,ATL → DEN,1,2023,Sunday,True,Winter,Moderate Delay,True,7,Morning,183,CARRIER_DELAY,347
2023-01-01 03:00:00,B6,SFO,ATL,69,35,0,0,C,61,11,72,3,81,2068,NAS,SFO → ATL,1,2023,Sunday,True,Winter,Major Delay,True,20,Evening,228,LATE_AIRCRAFT_DELAY,367
2023-01-01 04:00:00,B6,JFK,LAX,36,1,0,0,C,66,46,71,5,67,728,NAS,JFK → LAX,1,2023,Sunday,True,Winter,Moderate Delay,True,7,Morning,255,NAS_DELAY,384
2023-01-01 05:00:00,DL,LAX,DEN,-17,-27,1,0,B,71,41,14,6,51,615,Weather,LAX → DEN,1,2023,Sunday,True,Winter,Early/On-time,False,6,Morning,183,CARRIER_DELAY,380
2023-01-01 06:00:00,UA,DEN,ATL,83,-9,0,0,B,42,54,70,9,95,370,Weather,DEN → ATL,1,2023,Sunday,True,Winter,Major Delay,True,3,Night,270,LATE_AIRCRAFT_DELAY,374
2023-01-01 07:00:00,UA,ATL,ORD,44,-16,0,0,,88,25,15,2,46,1242,Not Cancelled / Unknown,ATL → ORD,1,2023,Sunday,True,Winter,Moderate Delay,True,12,Afternoon,176,CARRIER_DELAY,347
2023-01-01 08:00:00,UA,LAX,SFO,-68,27,0,0,C,57,37,42,4,69,1527,NAS,LAX → SFO,1,2023,Sunday,True,Winter,Early/On-time,False,15,Afternoon,209,LATE_AIRCRAFT_DELAY,380
2023-01-01 09:00:00,B6,DEN,LAX,53,-54,0,0,A,51,55,6,0,25,631,Carrier,DEN → LAX,1,2023,Sunday,True,Winter,Moderate Delay,True,6,Morning,137,WEATHER_DELAY,374
2023-01-01 10:00:00,WN,SEA,SFO,-10,35,0,0,A,75,44,42,5,69,760,Carrier,SEA → SFO,1,2023,Sunday,True,Winter,Early/On-time,False,7,Morning,235,CARRIER_DELAY,352
2023-01-01 11:00:00,UA,SEA,ORD,23,7,0,0,,68,5,27,4,98,846,Not Cancelled / Unknown,SEA → ORD,1,2023,Sunday,True,Winter,Moderate Delay,True,8,Morning,202,LATE_AIRCRAFT_DELAY,352
2023-01-01 12:00:00,NK,ATL,DEN,60,41,0,0,C,45,22,65,6,42,947,NAS,ATL → DEN,1,2023,Sunday,True,Winter,Moderate Delay,True,9,Morning,180,NAS_DELAY,347
2023-01-01 13:00:00,B6,ORD,LAX,-9,-16,0,0,,24,1,59,8,68,1119,Not Cancelled / Unknown,ORD → LAX,1,2023,Sunday,True,Winter,Early/On-time,False,11,Morning,160,LATE_AIRCRAFT_DELAY,401
2023-01-01 14:00:00,DL,DFW,SFO,-59,-24,0,0,B,24,25,2,3,62,1455,Weather,DFW → SFO,1,2023,Sunday,True,Winter,Early/On-time,False,14,Afternoon,116,LATE_AIRCRAFT_DELAY,395
2023-01-01 15:00:00,WN,SFO,JFK,82,-4,0,0,C,34,13,0,8,77,2235,NAS,SFO → JFK,1,2023,Sunday,True,Winter,Major Delay,True,22,Evening,132,LATE_AIRCRAFT_DELAY,367
2023-01-01 16:00:00,NK,DFW,SFO,67,-5,0,0,C,60,17,30,5,65,1167,NAS,DFW → SFO,1,2023,Sunday,True,Winter,Major Delay,True,11,Morning,177,LATE_AIRCRAFT_DELAY,395
